Filepath,Filename,MassIVE,Taxaname_file,Taxa_NCBI,ReDU_Availability,Blank,QC,USI_full,file_usi
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96595_1x_BB4_01_31163.mzML,MSV000082388/G96595_1x_BB4_01_31163.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96595_1x_BB4_01_31163.mzML,mzspec:MSV000082388:G96595_1x_BB4_01_31163
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96596_1x_RC6_01_31073.mzML,MSV000082388/G96596_1x_RC6_01_31073.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96596_1x_RC6_01_31073.mzML,mzspec:MSV000082388:G96596_1x_RC6_01_31073
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96597_1x_RD10_01_31089.mzML,MSV000082388/G96597_1x_RD10_01_31089.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96597_1x_RD10_01_31089.mzML,mzspec:MSV000082388:G96597_1x_RD10_01_31089
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96598_1x_RC2_01_31069.mzML,MSV000082388/G96598_1x_RC2_01_31069.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96598_1x_RC2_01_31069.mzML,mzspec:MSV000082388:G96598_1x_RC2_01_31069
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96599_1x_BB7_01_31166.mzML,MSV000082388/G96599_1x_BB7_01_31166.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96599_1x_BB7_01_31166.mzML,mzspec:MSV000082388:G96599_1x_BB7_01_31166
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96600_1x_RB3_01_31058.mzML,MSV000082388/G96600_1x_RB3_01_31058.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96600_1x_RB3_01_31058.mzML,mzspec:MSV000082388:G96600_1x_RB3_01_31058
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96601_1x_RE4_01_31097.mzML,MSV000082388/G96601_1x_RE4_01_31097.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96601_1x_RE4_01_31097.mzML,mzspec:MSV000082388:G96601_1x_RE4_01_31097
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96602_1x_RB11_01_31066.mzML,MSV000082388/G96602_1x_RB11_01_31066.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96602_1x_RB11_01_31066.mzML,mzspec:MSV000082388:G96602_1x_RB11_01_31066
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96603_1x_RE8_01_31101.mzML,MSV000082388/G96603_1x_RE8_01_31101.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96603_1x_RE8_01_31101.mzML,mzspec:MSV000082388:G96603_1x_RE8_01_31101
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96604_1x_RB9_01_31064.mzML,MSV000082388/G96604_1x_RB9_01_31064.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96604_1x_RB9_01_31064.mzML,mzspec:MSV000082388:G96604_1x_RB9_01_31064
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96605_1x_RD7_01_31086.mzML,MSV000082388/G96605_1x_RD7_01_31086.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96605_1x_RD7_01_31086.mzML,mzspec:MSV000082388:G96605_1x_RD7_01_31086
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96606_1x_RD11_01_31090.mzML,MSV000082388/G96606_1x_RD11_01_31090.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96606_1x_RD11_01_31090.mzML,mzspec:MSV000082388:G96606_1x_RD11_01_31090
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96607_1x_BA7_01_31153.mzML,MSV000082388/G96607_1x_BA7_01_31153.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96607_1x_BA7_01_31153.mzML,mzspec:MSV000082388:G96607_1x_BA7_01_31153
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96608_1x_RB6_01_31061.mzML,MSV000082388/G96608_1x_RB6_01_31061.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96608_1x_RB6_01_31061.mzML,mzspec:MSV000082388:G96608_1x_RB6_01_31061
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96610_1x_BA4_01_31150.mzML,MSV000082388/G96610_1x_BA4_01_31150.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96610_1x_BA4_01_31150.mzML,mzspec:MSV000082388:G96610_1x_BA4_01_31150
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96611_1x_RA5_01_31047.mzML,MSV000082388/G96611_1x_RA5_01_31047.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96611_1x_RA5_01_31047.mzML,mzspec:MSV000082388:G96611_1x_RA5_01_31047
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96612_1x_RB5_01_31060.mzML,MSV000082388/G96612_1x_RB5_01_31060.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96612_1x_RB5_01_31060.mzML,mzspec:MSV000082388:G96612_1x_RB5_01_31060
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96613_1x_RA2_01_31044.mzML,MSV000082388/G96613_1x_RA2_01_31044.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96613_1x_RA2_01_31044.mzML,mzspec:MSV000082388:G96613_1x_RA2_01_31044
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96614_1x_BF7_01_31211.mzML,MSV000082388/G96614_1x_BF7_01_31211.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96614_1x_BF7_01_31211.mzML,mzspec:MSV000082388:G96614_1x_BF7_01_31211
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96615_1x_BF8_01_31212.mzML,MSV000082388/G96615_1x_BF8_01_31212.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96615_1x_BF8_01_31212.mzML,mzspec:MSV000082388:G96615_1x_BF8_01_31212
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96616_1x_RG12_01_31130.mzML,MSV000082388/G96616_1x_RG12_01_31130.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96616_1x_RG12_01_31130.mzML,mzspec:MSV000082388:G96616_1x_RG12_01_31130
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96617_1x_RE2_01_31095.mzML,MSV000082388/G96617_1x_RE2_01_31095.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96617_1x_RE2_01_31095.mzML,mzspec:MSV000082388:G96617_1x_RE2_01_31095
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96618_1x_BE3_01_31196.mzML,MSV000082388/G96618_1x_BE3_01_31196.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96618_1x_BE3_01_31196.mzML,mzspec:MSV000082388:G96618_1x_BE3_01_31196
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96619_1x_RH12_01_31142.mzML,MSV000082388/G96619_1x_RH12_01_31142.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96619_1x_RH12_01_31142.mzML,mzspec:MSV000082388:G96619_1x_RH12_01_31142
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96620_1x_BH2_01_31222.mzML,MSV000082388/G96620_1x_BH2_01_31222.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96620_1x_BH2_01_31222.mzML,mzspec:MSV000082388:G96620_1x_BH2_01_31222
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96621_1x_BH6_01_31226.mzML,MSV000082388/G96621_1x_BH6_01_31226.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96621_1x_BH6_01_31226.mzML,mzspec:MSV000082388:G96621_1x_BH6_01_31226
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96622_1x_BC6_01_31177.mzML,MSV000082388/G96622_1x_BC6_01_31177.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96622_1x_BC6_01_31177.mzML,mzspec:MSV000082388:G96622_1x_BC6_01_31177
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96623_1x_BD7_01_31190.mzML,MSV000082388/G96623_1x_BD7_01_31190.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96623_1x_BD7_01_31190.mzML,mzspec:MSV000082388:G96623_1x_BD7_01_31190
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96624_1x_RE7_01_31100.mzML,MSV000082388/G96624_1x_RE7_01_31100.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96624_1x_RE7_01_31100.mzML,mzspec:MSV000082388:G96624_1x_RE7_01_31100
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96625_1x_BC3_01_31174.mzML,MSV000082388/G96625_1x_BC3_01_31174.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96625_1x_BC3_01_31174.mzML,mzspec:MSV000082388:G96625_1x_BC3_01_31174
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96626_1x_BH7_01_31227.mzML,MSV000082388/G96626_1x_BH7_01_31227.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96626_1x_BH7_01_31227.mzML,mzspec:MSV000082388:G96626_1x_BH7_01_31227
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96628_1x_BE8_01_31201.mzML,MSV000082388/G96628_1x_BE8_01_31201.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96628_1x_BE8_01_31201.mzML,mzspec:MSV000082388:G96628_1x_BE8_01_31201
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96629_1x_rerun_BF6_01_31210.mzML,MSV000082388/G96629_1x_rerun_BF6_01_31210.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96629_1x_rerun_BF6_01_31210.mzML,mzspec:MSV000082388:G96629_1x_rerun_BF6_01_31210
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96630_1x_BB9_01_31168.mzML,MSV000082388/G96630_1x_BB9_01_31168.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96630_1x_BB9_01_31168.mzML,mzspec:MSV000082388:G96630_1x_BB9_01_31168
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96631_1x_BD8_01_31191.mzML,MSV000082388/G96631_1x_BD8_01_31191.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96631_1x_BD8_01_31191.mzML,mzspec:MSV000082388:G96631_1x_BD8_01_31191
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96632_1x_BH3_01_31223.mzML,MSV000082388/G96632_1x_BH3_01_31223.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96632_1x_BH3_01_31223.mzML,mzspec:MSV000082388:G96632_1x_BH3_01_31223
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96633_1x_BB5_01_31164.mzML,MSV000082388/G96633_1x_BB5_01_31164.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96633_1x_BB5_01_31164.mzML,mzspec:MSV000082388:G96633_1x_BB5_01_31164
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96634_1x_RC4_01_31071.mzML,MSV000082388/G96634_1x_RC4_01_31071.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96634_1x_RC4_01_31071.mzML,mzspec:MSV000082388:G96634_1x_RC4_01_31071
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96649_1x_RG2_01_31119.mzML,MSV000082388/G96649_1x_RG2_01_31119.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96649_1x_RG2_01_31119.mzML,mzspec:MSV000082388:G96649_1x_RG2_01_31119
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96650_1x_RD8_01_31087.mzML,MSV000082388/G96650_1x_RD8_01_31087.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96650_1x_RD8_01_31087.mzML,mzspec:MSV000082388:G96650_1x_RD8_01_31087
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96651_1x_RE10_01_31103.mzML,MSV000082388/G96651_1x_RE10_01_31103.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96651_1x_RE10_01_31103.mzML,mzspec:MSV000082388:G96651_1x_RE10_01_31103
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96652_1x_BC8_01_31179.mzML,MSV000082388/G96652_1x_BC8_01_31179.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96652_1x_BC8_01_31179.mzML,mzspec:MSV000082388:G96652_1x_BC8_01_31179
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96653_1x_RG4_01_31121.mzML,MSV000082388/G96653_1x_RG4_01_31121.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96653_1x_RG4_01_31121.mzML,mzspec:MSV000082388:G96653_1x_RG4_01_31121
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96654_1x_RD12_01_31091.mzML,MSV000082388/G96654_1x_RD12_01_31091.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96654_1x_RD12_01_31091.mzML,mzspec:MSV000082388:G96654_1x_RD12_01_31091
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96655_1x_RC11_01_31078.mzML,MSV000082388/G96655_1x_RC11_01_31078.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96655_1x_RC11_01_31078.mzML,mzspec:MSV000082388:G96655_1x_RC11_01_31078
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96656_1x_BB8_01_31167.mzML,MSV000082388/G96656_1x_BB8_01_31167.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96656_1x_BB8_01_31167.mzML,mzspec:MSV000082388:G96656_1x_BB8_01_31167
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96657_1x_BG6_01_31218.mzML,MSV000082388/G96657_1x_BG6_01_31218.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96657_1x_BG6_01_31218.mzML,mzspec:MSV000082388:G96657_1x_BG6_01_31218
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96659_1x_RF11_01_31116.mzML,MSV000082388/G96659_1x_RF11_01_31116.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96659_1x_RF11_01_31116.mzML,mzspec:MSV000082388:G96659_1x_RF11_01_31116
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96660_1x_RG11_01_31129.mzML,MSV000082388/G96660_1x_RG11_01_31129.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96660_1x_RG11_01_31129.mzML,mzspec:MSV000082388:G96660_1x_RG11_01_31129
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96661_1x_RE12_01_31105.mzML,MSV000082388/G96661_1x_RE12_01_31105.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96661_1x_RE12_01_31105.mzML,mzspec:MSV000082388:G96661_1x_RE12_01_31105
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96662_1x_BG2_01_31214.mzML,MSV000082388/G96662_1x_BG2_01_31214.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96662_1x_BG2_01_31214.mzML,mzspec:MSV000082388:G96662_1x_BG2_01_31214
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96663_1x_RD3_01_31082.mzML,MSV000082388/G96663_1x_RD3_01_31082.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96663_1x_RD3_01_31082.mzML,mzspec:MSV000082388:G96663_1x_RD3_01_31082
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96664_1x_RA10_01_31053.mzML,MSV000082388/G96664_1x_RA10_01_31053.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96664_1x_RA10_01_31053.mzML,mzspec:MSV000082388:G96664_1x_RA10_01_31053
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96667_1x_RF8_01_31113.mzML,MSV000082388/G96667_1x_RF8_01_31113.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96667_1x_RF8_01_31113.mzML,mzspec:MSV000082388:G96667_1x_RF8_01_31113
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96668_1x_RC3_01_31070.mzML,MSV000082388/G96668_1x_RC3_01_31070.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96668_1x_RC3_01_31070.mzML,mzspec:MSV000082388:G96668_1x_RC3_01_31070
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96669_1x_RE6_01_31099.mzML,MSV000082388/G96669_1x_RE6_01_31099.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96669_1x_RE6_01_31099.mzML,mzspec:MSV000082388:G96669_1x_RE6_01_31099
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96670_1x_RH5_01_31135.mzML,MSV000082388/G96670_1x_RH5_01_31135.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96670_1x_RH5_01_31135.mzML,mzspec:MSV000082388:G96670_1x_RH5_01_31135
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96671_1x_BD4_01_31187.mzML,MSV000082388/G96671_1x_BD4_01_31187.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96671_1x_BD4_01_31187.mzML,mzspec:MSV000082388:G96671_1x_BD4_01_31187
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96672_1x_BC5_01_31176.mzML,MSV000082388/G96672_1x_BC5_01_31176.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96672_1x_BC5_01_31176.mzML,mzspec:MSV000082388:G96672_1x_BC5_01_31176
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96673_1x_RF5_01_31110.mzML,MSV000082388/G96673_1x_RF5_01_31110.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96673_1x_RF5_01_31110.mzML,mzspec:MSV000082388:G96673_1x_RF5_01_31110
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96674_1x_BG8_01_31220.mzML,MSV000082388/G96674_1x_BG8_01_31220.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96674_1x_BG8_01_31220.mzML,mzspec:MSV000082388:G96674_1x_BG8_01_31220
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96675_1x_RB7_01_31062.mzML,MSV000082388/G96675_1x_RB7_01_31062.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96675_1x_RB7_01_31062.mzML,mzspec:MSV000082388:G96675_1x_RB7_01_31062
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96677_1x_RH8_01_31138.mzML,MSV000082388/G96677_1x_RH8_01_31138.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96677_1x_RH8_01_31138.mzML,mzspec:MSV000082388:G96677_1x_RH8_01_31138
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96678_1x_RH4_01_31134.mzML,MSV000082388/G96678_1x_RH4_01_31134.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96678_1x_RH4_01_31134.mzML,mzspec:MSV000082388:G96678_1x_RH4_01_31134
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96679_1x_RH7_01_31137.mzML,MSV000082388/G96679_1x_RH7_01_31137.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96679_1x_RH7_01_31137.mzML,mzspec:MSV000082388:G96679_1x_RH7_01_31137
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96680_1x_BD5_01_31188.mzML,MSV000082388/G96680_1x_BD5_01_31188.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96680_1x_BD5_01_31188.mzML,mzspec:MSV000082388:G96680_1x_BD5_01_31188
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96681_1x_RF2_01_31107.mzML,MSV000082388/G96681_1x_RF2_01_31107.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96681_1x_RF2_01_31107.mzML,mzspec:MSV000082388:G96681_1x_RF2_01_31107
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96682_1x_BA5_01_31151.mzML,MSV000082388/G96682_1x_BA5_01_31151.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96682_1x_BA5_01_31151.mzML,mzspec:MSV000082388:G96682_1x_BA5_01_31151
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96683_1x_RD9_01_31088.mzML,MSV000082388/G96683_1x_RD9_01_31088.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96683_1x_RD9_01_31088.mzML,mzspec:MSV000082388:G96683_1x_RD9_01_31088
MSV000082388/ccms_peak/data_mzxml_tea_p2/Samples/G96684_1x_BE7_01_31200.mzML,MSV000082388/G96684_1x_BE7_01_31200.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p2/Samples/G96684_1x_BE7_01_31200.mzML,mzspec:MSV000082388:G96684_1x_BE7_01_31200
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96685_1x_RA9_01_31052.mzML,MSV000082388/G96685_1x_RA9_01_31052.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96685_1x_RA9_01_31052.mzML,mzspec:MSV000082388:G96685_1x_RA9_01_31052
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96686_1x_RD4_01_31083.mzML,MSV000082388/G96686_1x_RD4_01_31083.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96686_1x_RD4_01_31083.mzML,mzspec:MSV000082388:G96686_1x_RD4_01_31083
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96687_1x_RC5_01_31072.mzML,MSV000082388/G96687_1x_RC5_01_31072.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96687_1x_RC5_01_31072.mzML,mzspec:MSV000082388:G96687_1x_RC5_01_31072
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96688_1x_RG10_01_31128.mzML,MSV000082388/G96688_1x_RG10_01_31128.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96688_1x_RG10_01_31128.mzML,mzspec:MSV000082388:G96688_1x_RG10_01_31128
MSV000082388/ccms_peak/data_mzxml_tea_p1/Samples/G96689_1x_RF3_01_31108.mzML,MSV000082388/G96689_1x_RF3_01_31108.mzML,MSV000082388,Camellia,4441,Yes,No,No,mzspec:MSV000082388:ccms_peak/data_mzxml_tea_p1/Samples/G96689_1x_RF3_01_31108.mzML,mzspec:MSV000082388:G96689_1x_RF3_01_31108
